Question,Answer
Who are the instructors of the course 60398 Critical Studies: Social History of Animation?,Duesing
What is the course number of Senior Studio?,60402
What is the name of course number 60402?,Senior Studio
What time does the course 60402 Senior Studio begin?,02:00PM
What time does the course 60402 Senior Studio end?,04:50PM
What days does the course 60402 Senior Studio meet?,"Tuesday, Thursday"
What is the location of the course 60402 Senior Studio?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60402 Senior Studio?,CFA 303
How many units is the course 60402 Senior Studio?,10.0
Who are the instructors of the course 60402 Senior Studio?,"Hansen, Merrell"
What is the course number of IDeATe: Experimental Sound Synthesis?,60407
What is the name of course number 60407?,IDeATe: Experimental Sound Synthesis
What time does the course 60407 IDeATe: Experimental Sound Synthesis begin?,12:00PM
What time does the course 60407 IDeATe: Experimental Sound Synthesis end?,01:50PM
What days does the course 60407 IDeATe: Experimental Sound Synthesis meet?,"Tuesday, Thursday"
What is the location of the course 60407 IDeATe: Experimental Sound Synthesis?,"A10A Pittsburgh, Pennsylvania"
What is the building and room number of the course 60407 IDeATe: Experimental Sound Synthesis?,HL
How many units is the course 60407 IDeATe: Experimental Sound Synthesis?,9.0
Who are the instructors of the course 60407 IDeATe: Experimental Sound Synthesis?,Hsieh
What is the course number of Advanced SIS: Ceramics?,60433
What is the name of course number 60433?,Advanced SIS: Ceramics
What time does the course 60433 Advanced SIS: Ceramics begin?,02:00PM
What time does the course 60433 Advanced SIS: Ceramics end?,04:50PM
What days does the course 60433 Advanced SIS: Ceramics meet?,"Tuesday, Thursday"
What is the location of the course 60433 Advanced SIS: Ceramics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60433 Advanced SIS: Ceramics?,DH B301
How many units is the course 60433 Advanced SIS: Ceramics?,10.0
Who are the instructors of the course 60433 Advanced SIS: Ceramics?,Sekino-Bove
What is the course number of Advanced DP3: Painting - Reverence And Representation?,60457
What is the name of course number 60457?,Advanced DP3: Painting - Reverence And Representation
What time does the course 60457 Advanced DP3: Painting - Reverence And Representation begin?,02:00PM
What time does the course 60457 Advanced DP3: Painting - Reverence And Representation end?,04:50PM
What days does the course 60457 Advanced DP3: Painting - Reverence And Representation meet?,"Monday, Wednesday, "
What is the location of the course 60457 Advanced DP3: Painting - Reverence And Representation?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60457 Advanced DP3: Painting - Reverence And Representation?,CFA 415
How many units is the course 60457 Advanced DP3: Painting - Reverence And Representation?,10.0
Who are the instructors of the course 60457 Advanced DP3: Painting - Reverence And Representation?,Henderson
What is the course number of M.F.A. Thesis Writing Seminar I?,60711
What is the name of course number 60711?,M.F.A. Thesis Writing Seminar I
What time does the course 60711 M.F.A. Thesis Writing Seminar I begin?,06:30PM
What time does the course 60711 M.F.A. Thesis Writing Seminar I end?,09:20PM
What days does the course 60711 M.F.A. Thesis Writing Seminar I meet?,"Monday, "
What is the location of the course 60711 M.F.A. Thesis Writing Seminar I?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60711 M.F.A. Thesis Writing Seminar I?,HOA 323
How many units is the course 60711 M.F.A. Thesis Writing Seminar I?,9.0
Who are the instructors of the course 60711 M.F.A. Thesis Writing Seminar I?,Dunn
What is the course number of M.F.A. Integrative Seminar?,60791
What is the name of course number 60791?,M.F.A. Integrative Seminar
What time does the course 60791 M.F.A. Integrative Seminar begin?,06:30PM
What time does the course 60791 M.F.A. Integrative Seminar end?,09:20PM
What days does the course 60791 M.F.A. Integrative Seminar meet?,"Wednesday, "
What is the location of the course 60791 M.F.A. Integrative Seminar?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60791 M.F.A. Integrative Seminar?,HOA 322
How many units is the course 60791 M.F.A. Integrative Seminar?,12.0
Who are the instructors of the course 60791 M.F.A. Integrative Seminar?,Wormsley
What is the course number of Exhibitions Management?,93808
What is the name of course number 93808?,Exhibitions Management
What time does the course 93808 Exhibitions Management begin?,09:30AM
What time does the course 93808 Exhibitions Management end?,10:50AM
What days does the course 93808 Exhibitions Management meet?,"Tuesday, Thursday"
What is the location of the course 93808 Exhibitions Management?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 93808 Exhibitions Management?,HBH 1006
How many units is the course 93808 Exhibitions Management?,6.0
Who are the instructors of the course 93808 Exhibitions Management?,Gent
What is the course number of Audience Engagement and User-Experience Design?,93815
What is the name of course number 93815?,Audience Engagement and User-Experience Design
What time does the course 93815 Audience Engagement and User-Experience Design begin?,02:00PM
What time does the course 93815 Audience Engagement and User-Experience Design end?,03:20PM
What days does the course 93815 Audience Engagement and User-Experience Design meet?,"Tuesday, Thursday"
What is the location of the course 93815 Audience Engagement and User-Experience Design?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 93815 Audience Engagement and User-Experience Design?,HBH 1202
How many units is the course 93815 Audience Engagement and User-Experience Design?,6.0
Who are the instructors of the course 93815 Audience Engagement and User-Experience Design?,Crawford
What is the course number of External Relations: Fundraising & Individual Giving?,93826
What is the name of course number 93826?,External Relations: Fundraising & Individual Giving
What time does the course 93826 External Relations: Fundraising & Individual Giving begin?,06:30PM
What time does the course 93826 External Relations: Fundraising & Individual Giving end?,09:20PM
What days does the course 93826 External Relations: Fundraising & Individual Giving meet?,"Tuesday, "
What is the location of the course 93826 External Relations: Fundraising & Individual Giving?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 93826 External Relations: Fundraising & Individual Giving?,HBH 1202
How many units is the course 93826 External Relations: Fundraising & Individual Giving?,6.0
Who are the instructors of the course 93826 External Relations: Fundraising & Individual Giving?,McMahon
What is the course number of Live Music:  Touring and Revenue Streams?,93844
What is the name of course number 93844?,Live Music:  Touring and Revenue Streams
What time does the course 93844 Live Music:  Touring and Revenue Streams begin?,06:30PM
What time does the course 93844 Live Music:  Touring and Revenue Streams end?,09:20PM
What days does the course 93844 Live Music:  Touring and Revenue Streams meet?,Thursday
What is the location of the course 93844 Live Music:  Touring and Revenue Streams?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 93844 Live Music:  Touring and Revenue Streams?,HBH 2008
How many units is the course 93844 Live Music:  Touring and Revenue Streams?,6.0
Who are the instructors of the course 93844 Live Music:  Touring and Revenue Streams?,Baab
What is the course number of Arts Management Professional Seminar II?,93849
What is the name of course number 93849?,Arts Management Professional Seminar II
What time does the course 93849 Arts Management Professional Seminar II begin?,12:30PM
What time does the course 93849 Arts Management Professional Seminar II end?,01:50PM
What days does the course 93849 Arts Management Professional Seminar II meet?,Thursday
What is the location of the course 93849 Arts Management Professional Seminar II?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 93849 Arts Management Professional Seminar II?,HBH 1204
How many units is the course 93849 Arts Management Professional Seminar II?,0.0
Who are the instructors of the course 93849 Arts Management Professional Seminar II?,"Spangler, Bowser"
What is the course number of Production Finance?,93880
What is the name of course number 93880?,Production Finance
What time does the course 93880 Production Finance begin?,11:00AM
What time does the course 93880 Production Finance end?,12:20PM
What days does the course 93880 Production Finance meet?,"Monday, Wednesday, "
What is the location of the course 93880 Production Finance?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 93880 Production Finance?,CMU REMOTE
How many units is the course 93880 Production Finance?,6.0
Who are the instructors of the course 93880 Production Finance?,Saul
What is the course number of BXA Seminar II: Transferring Knowledge?,52291
What is the name of course number 52291?,BXA Seminar II: Transferring Knowledge
What time does the course 52291 BXA Seminar II: Transferring Knowledge begin?,12:00PM
